,season,league_name,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
17,2023-2024,La-Liga,Andriy Lunin,ua UKR,GK,Real Madrid,25-023,1999,15.0,15.0,1350.0,15.0,9.0,0.6,42.0,33.0,81.0,11.0,4.0,0.0,7.0,46.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0.33,5.6,0.37,19.0,54.0,35.2,374.0,72.0,11.0,24.0,78.0,16.7,27.2,192.0,21.0,10.9,18.0,1.2,13.3
18,2023-2024,La-Liga,Giorgi Mamardashvili,ge GEO,GK,Valencia,23-158,2000,26.0,26.0,2340.0,26.0,31.0,1.19,102.0,71.0,71.6,10.0,7.0,9.0,8.0,30.8,3.0,2.0,1.0,0.0,33.3,0.0,3.0,1.0,35.0,0.32,5.0,0.19,122.0,445.0,27.4,571.0,98.0,58.1,41.8,163.0,69.3,53.2,373.0,35.0,9.4,22.0,0.85,12.0
19,2023-2024,La-Liga,Diego Mariño,es ESP,GK,Almería,33-301,1990,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,100.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.02,0.1,0.05,1.0,5.0,20.0,25.0,6.0,20.0,24.1,2.0,0.0,16.5,6.0,0.0,0.0,2.0,2.0,22.7
20,2023-2024,La-Liga,Unai Marrero,es ESP,GK,Real Sociedad,22-148,2001,2.0,1.0,142.0,1.6,3.0,1.9,5.0,2.0,60.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.37,-0.1,-0.09,10.0,25.0,40.0,37.0,5.0,45.9,37.0,8.0,100.0,63.4,27.0,1.0,3.7,4.0,2.54,20.1
21,2023-2024,La-Liga,Luís Maximiano,pt POR,GK,Almería,25-060,1999,24.0,24.0,2160.0,24.0,46.0,1.92,123.0,76.0,65.9,0.0,9.0,15.0,4.0,16.7,7.0,4.0,1.0,2.0,20.0,0.0,6.0,0.0,45.1,0.33,-0.9,-0.04,115.0,408.0,28.2,703.0,112.0,40.0,35.9,200.0,63.5,47.0,411.0,22.0,5.4,27.0,1.13,14.2
22,2023-2024,La-Liga,Ørjan Nyland,no NOR,GK,Sevilla,33-177,1990,13.0,13.0,1170.0,13.0,13.0,1.0,50.0,38.0,78.0,4.0,7.0,2.0,3.0,23.1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,13.1,0.22,1.1,0.08,84.0,246.0,34.1,305.0,62.0,52.8,40.8,104.0,81.7,58.7,193.0,11.0,5.7,11.0,0.85,13.8
23,2023-2024,La-Liga,Jan Oblak,si SVN,GK,Atlético Madrid,31-058,1993,27.0,27.0,2430.0,27.0,29.0,1.07,108.0,79.0,74.1,17.0,4.0,6.0,9.0,33.3,2.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,27.8,0.25,-1.2,-0.05,78.0,235.0,33.2,519.0,130.0,26.2,30.8,209.0,47.4,38.6,411.0,21.0,5.1,15.0,0.56,12.4
24,2023-2024,La-Liga,Iñaki Peña,es ESP,GK,Barcelona,25-003,1999,10.0,10.0,900.0,10.0,17.0,1.7,39.0,22.0,56.4,6.0,2.0,2.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,0.36,-3.1,-0.31,21.0,49.0,42.9,249.0,46.0,13.3,23.7,48.0,33.3,35.5,116.0,2.0,1.7,5.0,0.5,10.6
25,2023-2024,La-Liga,Predrag Rajković,rs SRB,GK,Mallorca,28-126,1995,27.0,27.0,2430.0,27.0,34.0,1.26,103.0,69.0,70.9,5.0,12.0,10.0,7.0,25.9,4.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,34.1,0.29,0.1,0.0,253.0,612.0,41.3,690.0,69.0,63.3,45.7,240.0,72.9,54.0,404.0,29.0,7.2,24.0,0.89,13.6
26,2023-2024,La-Liga,Pepe Reina,es ESP,GK,Villarreal,41-187,1982,1.0,1.0,90.0,1.0,1.0,1.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.26,-0.2,-0.22,5.0,13.0,38.5,31.0,5.0,32.3,33.4,5.0,60.0,45.4,18.0,0.0,0.0,0.0,0.0,0.0
27,2023-2024,La-Liga,Álex Remiro,es ESP,GK,Real Sociedad,28-347,1995,26.0,26.0,2285.0,25.4,26.0,1.02,92.0,67.0,73.9,10.0,10.0,6.0,10.0,38.5,2.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,25.2,0.27,0.2,0.01,130.0,298.0,43.6,763.0,86.0,29.1,31.2,119.0,63.9,50.1,295.0,14.0,4.7,41.0,1.61,17.3
28,2023-2024,La-Liga,Rui Silva,pt POR,GK,Betis,30-027,1994,18.0,18.0,1575.0,17.5,19.0,1.09,76.0,57.0,81.6,6.0,7.0,5.0,8.0,44.4,6.0,5.0,1.0,0.0,16.7,0.0,2.0,1.0,22.9,0.23,4.9,0.28,83.0,253.0,32.8,517.0,75.0,36.0,33.3,123.0,54.5,42.6,239.0,24.0,10.0,25.0,1.43,14.7
29,2023-2024,La-Liga,Unai Simón,es ESP,GK,Athletic Club,26-268,1997,27.0,27.0,2430.0,27.0,26.0,0.96,96.0,71.0,72.9,14.0,8.0,5.0,13.0,48.1,1.0,0.0,1.0,0.0,100.0,0.0,2.0,2.0,28.5,0.29,4.5,0.17,175.0,527.0,33.2,746.0,109.0,49.9,39.2,185.0,83.8,60.4,335.0,22.0,6.6,40.0,1.48,17.7
30,2023-2024,La-Liga,Antonio Sivera,es ESP,GK,Alavés,27-207,1996,27.0,27.0,2430.0,27.0,33.0,1.22,105.0,74.0,75.2,7.0,8.0,12.0,6.0,22.2,7.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0,33.6,0.26,2.6,0.1,201.0,521.0,38.6,620.0,89.0,60.0,43.9,233.0,63.9,45.7,401.0,18.0,4.5,23.0,0.85,13.7
31,2023-2024,La-Liga,David Soria,es ESP,GK,Getafe,30-336,1993,27.0,27.0,2430.0,27.0,41.0,1.52,132.0,90.0,72.0,8.0,11.0,8.0,8.0,29.6,6.0,4.0,1.0,1.0,20.0,0.0,4.0,0.0,42.7,0.3,1.7,0.06,261.0,687.0,38.0,700.0,82.0,70.7,47.2,215.0,89.3,59.2,328.0,13.0,4.0,52.0,1.93,17.9
32,2023-2024,La-Liga,Marc-André ter Stegen,de GER,GK,Barcelona,31-310,1992,17.0,17.0,1530.0,17.0,17.0,1.0,60.0,43.0,71.7,11.0,5.0,1.0,8.0,47.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.5,0.29,0.5,0.03,54.0,92.0,58.7,519.0,64.0,13.5,25.5,91.0,24.2,29.1,213.0,8.0,3.8,20.0,1.18,15.4
33,2023-2024,La-Liga,Álvaro Vallés,es ESP,GK,Las Palmas,26-224,1997,27.0,27.0,2430.0,27.0,29.0,1.07,114.0,84.0,78.1,10.0,7.0,10.0,7.0,25.9,6.0,4.0,1.0,1.0,20.0,0.0,5.0,0.0,36.0,0.28,7.0,0.26,109.0,355.0,30.7,1354.0,142.0,22.4,27.6,118.0,44.1,39.9,419.0,25.0,6.0,76.0,2.81,18.0
34,2023-2024,La-Liga,Iván Villar,es ESP,GK,Celta Vigo,26-240,1997,10.0,10.0,834.0,9.3,15.0,1.62,41.0,25.0,65.9,1.0,3.0,6.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,0.0,1.0,0.0,14.5,0.31,-0.5,-0.05,32.0,127.0,25.2,183.0,40.0,39.3,36.7,80.0,68.8,49.6,121.0,5.0,4.1,7.0,0.76,12.8
