,season,league_name,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
17,2019-2020,La-Liga-Stats,Sergio Herrera,es ESP,GK,Osasuna,26,1993,19.0,18.0,1655.0,18.4,27.0,1.47,80.0,53.0,67.5,7.0,3.0,8.0,7.0,38.9,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,27.4,0.33,0.4,0.02,149.0,453.0,32.9,462.0,73.0,69.3,47.1,147.0,90.5,59.2,235.0,16.0,6.8,31.0,1.69,16.4
18,2019-2020,La-Liga-Stats,Iago Herrerín,es ESP,GK,Athletic Club,31,1988,5.0,4.0,425.0,4.7,9.0,1.91,19.0,10.0,52.6,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.2,0.29,-3.8,-0.8,41.0,101.0,40.6,138.0,27.0,55.8,41.4,30.0,80.0,54.8,52.0,6.0,11.5,0.0,0.0,10.0
19,2019-2020,La-Liga-Stats,Diego López,es ESP,GK,Espanyol,37,1981,36.0,36.0,3232.0,35.9,58.0,1.62,160.0,103.0,67.5,4.0,9.0,23.0,4.0,11.1,7.0,6.0,1.0,0.0,14.3,0.0,4.0,2.0,53.9,0.31,-2.1,-0.06,218.0,661.0,33.0,834.0,118.0,54.1,41.1,302.0,69.5,49.8,474.0,26.0,5.5,50.0,1.39,15.9
20,2019-2020,La-Liga-Stats,Daniel Martín,es ESP,GK,Betis,21,1998,6.0,5.0,531.0,5.9,12.0,2.03,24.0,12.0,50.0,1.0,0.0,4.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.9,0.33,-4.1,-0.69,23.0,58.0,39.7,147.0,34.0,29.3,30.8,36.0,41.7,40.6,69.0,2.0,2.9,8.0,1.36,18.3
21,2019-2020,La-Liga-Stats,Jordi Masip,es ESP,GK,Valladolid,30,1989,35.0,35.0,3150.0,35.0,39.0,1.11,125.0,85.0,73.6,8.0,15.0,12.0,11.0,31.4,7.0,6.0,1.0,0.0,14.3,2.0,3.0,0.0,43.6,0.3,4.6,0.13,238.0,711.0,33.5,714.0,122.0,61.9,43.6,336.0,80.1,55.4,540.0,12.0,2.2,15.0,0.43,10.9
22,2019-2020,La-Liga-Stats,Neto,br BRA,GK,Barcelona,30,1989,2.0,2.0,180.0,2.0,2.0,1.0,3.0,1.0,33.3,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.54,-0.4,-0.19,5.0,10.0,50.0,46.0,5.0,15.2,24.5,15.0,20.0,24.2,22.0,1.0,4.5,4.0,2.0,16.6
23,2019-2020,La-Liga-Stats,Jan Oblak,si SVN,GK,Atlético Madrid,26,1993,38.0,38.0,3395.0,37.7,27.0,0.72,111.0,87.0,78.4,18.0,16.0,4.0,17.0,44.7,4.0,3.0,0.0,1.0,0.0,1.0,4.0,3.0,29.8,0.25,5.8,0.15,232.0,589.0,39.4,635.0,111.0,56.7,41.2,316.0,72.5,49.9,532.0,12.0,2.3,12.0,0.32,13.1
24,2019-2020,La-Liga-Stats,Oier Olazábal,es ESP,GK,Espanyol,29,1989,2.0,2.0,180.0,2.0,0.0,0.0,3.0,3.0,100.0,1.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.18,0.5,0.27,6.0,17.0,35.3,51.0,15.0,21.6,31.1,12.0,50.0,41.4,21.0,3.0,14.3,0.0,0.0,7.8
25,2019-2020,La-Liga-Stats,Fernando Pacheco,es ESP,GK,Alavés,27,1992,27.0,27.0,2358.0,26.2,37.0,1.41,102.0,62.0,71.6,7.0,7.0,13.0,6.0,22.2,11.0,8.0,3.0,0.0,27.3,3.0,2.0,0.0,34.3,0.24,-2.7,-0.1,262.0,572.0,45.8,558.0,85.0,62.0,42.5,250.0,90.4,56.7,386.0,8.0,2.1,11.0,0.42,13.1
26,2019-2020,La-Liga-Stats,Miquel Parera,es ESP,GK,Mallorca,23,1996,1.0,1.0,90.0,1.0,2.0,2.0,5.0,3.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.12,-1.4,-1.41,6.0,12.0,50.0,21.0,3.0,47.6,37.6,4.0,50.0,57.0,12.0,0.0,0.0,0.0,0.0,0.0
