,season,league_name,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
33,2023-2024,La-Liga,Iván Villar,es ESP,GK,Celta Vigo,26-237,1997,10.0,10.0,834.0,9.3,15.0,1.62,41.0,25.0,65.9,1.0,3.0,6.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,0.0,1.0,0.0,14.5,0.31,-0.5,-0.05,32.0,127.0,25.2,183.0,40.0,39.3,36.7,80.0,68.8,49.6,121.0,5.0,4.1,7.0,0.76,12.8
0,2023-2024,Serie-A,Emil Audero,it ITA,GK,Inter,27-044,1997,1.0,1.0,90.0,1.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.1,0.12,3.0,13.0,23.1,64.0,4.0,17.2,27.2,4.0,50.0,49.0,17.0,0.0,0.0,2.0,2.0,29.0
1,2023-2024,Serie-A,Etrit Berisha,al ALB,GK,Empoli,34-358,1989,14.0,14.0,1260.0,14.0,25.0,1.79,74.0,49.0,68.9,3.0,3.0,8.0,4.0,28.6,3.0,2.0,1.0,0.0,33.3,0.0,5.0,1.0,20.7,0.24,-3.3,-0.24,44.0,184.0,23.9,400.0,75.0,34.8,33.0,90.0,50.0,40.8,236.0,11.0,4.7,10.0,0.71,12.4
2,2023-2024,Serie-A,Elia Caprile,it ITA,GK,Empoli,22-190,2001,11.0,11.0,990.0,11.0,13.0,1.18,48.0,34.0,77.1,3.0,4.0,4.0,3.0,27.3,3.0,2.0,1.0,0.0,33.3,0.0,3.0,0.0,13.9,0.23,0.9,0.08,55.0,151.0,36.4,305.0,54.0,38.4,35.7,70.0,48.6,43.0,199.0,10.0,5.0,12.0,1.09,15.2
3,2023-2024,Serie-A,Marco Carnesecchi,it ITA,GK,Atalanta,23-245,2000,16.0,16.0,1440.0,16.0,16.0,1.0,67.0,49.0,79.1,9.0,3.0,4.0,6.0,37.5,5.0,2.0,2.0,1.0,50.0,0.0,1.0,0.0,18.5,0.22,2.5,0.15,74.0,215.0,34.4,410.0,79.0,32.9,34.5,118.0,67.8,51.2,204.0,15.0,7.4,24.0,1.5,14.1
4,2023-2024,Serie-A,Michele Cerofolini,it ITA,GK,Frosinone,25-058,1999,2.0,2.0,180.0,2.0,4.0,2.0,11.0,7.0,63.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.2,-2.0,-1.02,4.0,39.0,10.3,53.0,7.0,54.7,39.8,19.0,52.6,43.2,45.0,2.0,4.4,0.0,0.0,5.0
5,2023-2024,Serie-A,Oliver Christensen,dk DEN,GK,Fiorentina,24-346,1999,2.0,2.0,180.0,2.0,6.0,3.0,13.0,7.0,61.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.18,-2.8,-1.38,14.0,31.0,45.2,78.0,7.0,33.3,33.2,8.0,62.5,49.4,15.0,0.0,0.0,3.0,1.5,22.0
6,2023-2024,Serie-A,Andrea Consigli,it ITA,GK,Sassuolo,37-035,1987,24.0,24.0,2160.0,24.0,48.0,2.0,116.0,69.0,62.9,4.0,5.0,15.0,1.0,4.2,7.0,5.0,1.0,1.0,16.7,1.0,4.0,2.0,36.9,0.27,-9.1,-0.38,107.0,329.0,32.5,698.0,108.0,37.8,35.8,171.0,38.0,34.9,383.0,17.0,4.4,17.0,0.71,12.5
7,2023-2024,Serie-A,Nikita Contini Baranovsky,it ITA,GK,Napoli,27-286,1996,1.0,0.0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,17.0,1.0,0.0,15.0,1.0,0.0,0.0,3.0,15.88,37.0
8,2023-2024,Serie-A,Benoît Costil,fr FRA,GK,Salernitana,36-243,1987,8.0,8.0,720.0,8.0,16.0,2.0,44.0,28.0,68.2,2.0,2.0,4.0,1.0,12.5,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,13.8,0.27,-2.2,-0.28,40.0,148.0,27.0,197.0,30.0,49.2,37.9,65.0,78.5,55.3,141.0,0.0,0.0,5.0,0.63,13.4
